Container_ID,Declaration_Date (YYYY-MM-DD),Declaration_Time,Trade_Regime (Import / Export / Transit),Origin_Country,Destination_Port,Destination_Country,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,Clearance_Status
97061800,2020-01-01,20:16:40,Import,BE,PORT_30,UG,440890,QLRUBN9,0VKY2BR,372254.4,108.0,106.51,LINE_MODE_10,37.6,Clear
85945189,2020-01-01,09:43:49,Import,CN,PORT_40,CA,690722,7JD1S2X,8WDKMC6,375751.2,11352.0,11541.578,LINE_MODE_40,51.7,Clear
77854751,2020-01-01,06:15:11,Import,CN,PORT_20,BA,620822,WI9O3I5,4DT3246,5353.02,20.7,20.404,LINE_MODE_40,31.3,Clear
46925060,2020-01-01,04:04:20,Import,VN,PORT_40,MN,940350,6LI9721,PKUOG2P,1477645.4,9218.0,8814.252,LINE_MODE_40,11.8,Clear
34131149,2020-01-01,03:36:29,Import,VN,PORT_20,LV,071080,RZ871V1,1HMVIVH,6364800.0,24000.0,24880.8,LINE_MODE_10,70.9,Clear
38459034,2020-01-01,23:27:54,Import,CN,PORT_40,CR,851712,2EIESGV,WLTGD61,29078.8,2.0,2.412,LINE_MODE_10,98.9,Low Risk
69602841,2020-01-01,02:43:21,Import,DE,PORT_40,RS,391000,US268D0,BXMTYM2,10765.0,25.0,24.768,LINE_MODE_40,34.6,Clear
94070719,2020-01-01,08:49:19,Import,CN,PORT_10,CR,220870,EAPRJGG,NTDG5EH,78900.0,500.0,500.85,LINE_W6UCD9,41.8,Clear
28079013,2020-01-01,03:31:33,Import,US,PORT_13,HU,853670,OQGTRGJ,B6KLLXR,241.58,0.2,0.201,LINE_HE8ATP,43.8,Clear
66853714,2020-01-01,01:32:34,Import,CN,PORT_30,SI,940180,FI22XB4,BXMTYM2,2463.6,2053.0,2010.298,LINE_MODE_40,27.0,Clear
19246049,2020-01-01,08:51:29,Import,IT,PORT_20,SI,220429,NM5XD6W,3QHJOHO,3151.61,7.7,7.598,LINE_MODE_10,37.9,Clear
14879976,2020-01-01,06:55:36,Import,CN,PORT_30,EC,851762,KRQQAFQ,HXEPMFC,153294.0,1057.2,1055.297,LINE_MODE_10,45.5,Clear
58493150,2020-01-01,15:25:50,Import,CN,PORT_20,PY,854442,I6ZZMA2,K76UOWY,2547.36,14.4,13.086,LINE_MODE_10,17.6,Low Risk
